月份,發布日期,觀看數,頻道,標題,ID,Video_URL,時長
2026-03,2026-03-01,90,甚作 ‐ SONGS ‐,2026/03/01 あるてふぁっとOpen Mic,cCPzSv5pcEg,https://www.youtube.com/watch?v=cCPzSv5pcEg,890.0
2026-03,2026-03-01,7,ハビー Harvey ,"開心果 （Sica）, Cover by Chef haha 2026-03-01",DYpsUeTHDtY,https://www.youtube.com/watch?v=DYpsUeTHDtY,210.0
2026-03,2026-03-01,58,kota skywalker,U R not alone 歌ってみた　2026/03/01,YqLYEfSTPL4,https://www.youtube.com/watch?v=YqLYEfSTPL4,113.0
2026-03,2026-03-01,8,animasportiva,Sakura Drive Light,FQQA7nScYDA,https://www.youtube.com/watch?v=FQQA7nScYDA,175.0
2026-03,2026-03-01,44,Happy Land - Topic,星が綺麗だ,S7ClDH02v-s,https://www.youtube.com/watch?v=S7ClDH02v-s,245.0
2026-03,2026-03-01,28,キョカChan,2026/03/01/トミザワエイコwithHonjoAmazing/YouAreGood,dL4tQ4CU7MA,https://www.youtube.com/watch?v=dL4tQ4CU7MA,209.0
2026-03,2026-03-01,16,animasportiva,春光　桜のあいだで,ZO3c1847Crk,https://www.youtube.com/watch?v=ZO3c1847Crk,303.0
2026-03,2026-03-01,33,映画,"MOROHA YES MUSIC, YES LIFE.　2026/03/01",NthrX88qdcs,https://www.youtube.com/watch?v=NthrX88qdcs,61.0
2026-03,2026-03-01,410,K,uneasy,gryOm7rV10Q,https://www.youtube.com/watch?v=gryOm7rV10Q,214.0
2026-03,2026-03-01,0,TraineeMusician,Tayori Withered Flower 花がら drums cover 2026 03 01 20 46 57,MX4E9vBVVKU,https://www.youtube.com/watch?v=MX4E9vBVVKU,210.0
2026-03,2026-03-01,11,五藤隆介（goryugo）,"Fly Me to the Moon , 2026/03/01",sfb7KsdTzDQ,https://www.youtube.com/watch?v=sfb7KsdTzDQ,100.0
2026-03,2026-03-01,25,animasportiva,サクラのうた,VkxKMnnuq5Q,https://www.youtube.com/watch?v=VkxKMnnuq5Q,210.0
2026-03,2026-03-01,35,ぴーびー,【撮可】ラブタップ(cover) / ヒロインズ研究生 (2026/03/01 HEROINES FES 2026),hmDy2EG2w9U,https://www.youtube.com/watch?v=hmDy2EG2w9U,187.0
2026-03,2026-03-01,210,TAKIsan,menon(from KJ−pop)『No Way! No Way!』2026 03/01 駒沢定例ライブ,cYKHJUVYt_M,https://www.youtube.com/watch?v=cYKHJUVYt_M,208.0
2026-03,2026-03-01,176,TAKIsan,menon(from KJ−pop)『What is Love?』2026 03/01 駒沢定例ライブ,COVaUOesDZ0,https://www.youtube.com/watch?v=COVaUOesDZ0,212.0
